"departamento","arma ","fecha","genero","población"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/10/2022","FEMENINO","ADOLESCENTES"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/10/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/17/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/23/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/2/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/4/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/10/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/16/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/24/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/25/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/26/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/4/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/21/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/14/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/17/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/23/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/27/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/18/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/21/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/25/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/26/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/28/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/1/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/4/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/28/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/1/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/17/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/28/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/2/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/11/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/12/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/25/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/30/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/12/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/20/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/17/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/12/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/30/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/26/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/7/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/22/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/4/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/16/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/7/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/15/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/4/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/10/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/20/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/26/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/30/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/16/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/18/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/12/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/15/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/15/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/17/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/23/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/12/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/10/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/15/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/27/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/29/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/16/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/14/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/15/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/23/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/31/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/30/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/19/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/30/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/17/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/17/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/26/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/4/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/29/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/10/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/26/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/7/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/11/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/21/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","1/27/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/2/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/7/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","2/27/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/1/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/12/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/22/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","3/29/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/11/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/22/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/30/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","4/30/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/10/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/16/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/24/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","5/26/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/3/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/16/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/22/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/22/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/23/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/28/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/28/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/29/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","6/30/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/10/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/14/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/18/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/20/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/21/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","7/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/4/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/11/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/18/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/21/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/22/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","SIN EMPLEO DE ARMAS","8/23/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","2/5/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","2/12/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/26/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","4/20/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/24/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","6/16/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/17/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","1/27/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","1/29/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","2/7/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/17/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","4/23/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","4/26/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/22/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","8/14/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","1/23/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","2/1/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","2/27/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/3/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/19/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/18/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","8/26/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","1/20/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/20/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/28/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","4/28/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/20/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/24/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","8/13/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","8/31/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","2/15/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/1/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/5/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/8/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/21/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","3/26/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","4/30/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/9/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/29/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","5/30/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","6/2/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","6/5/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","6/11/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","6/13/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","6/25/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/10/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/16/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/18/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/21/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/25/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/26/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/29/2022","FEMENINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/29/2022","MASCULINO","ADULTOS"
"TOLIMA","SIN EMPLEO DE ARMAS","7/31/2022","MASCULINO","ADULTOS"
